"codigo","classe","descricao","kcal","proteina_g","carboidratos_g","gorduras_g","fibras_g","sodio_mg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0113T","Leguminosas e derivados","Orelha-de-padre, semente, seca, remolho em água, cozida, drenada, s/ óleo, s/ sal, Lablab purpureus (L) Sweet,","121","8.91","16.9","0.58","6.2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0682B","Vegetais e derivados","Lasanha, berinjela, c/ frios, caseira, c/ sal, (berinjela grelhada, c/ muçarela, presunto, c/ molho de tomate (tomate, c/ óleo, cebola e alho) c/ sal),","92","6.79","2.59","5.62","2.18","524","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0429N","Alimentos para fins especiais","Papa de batata doce e banana, s/ açúcar,","101","1.06","22.4","0.18","2.49","1.69","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0058A","Cereais e derivados","Biscoito, salgado, água e sal, Tostines,","442","11.4","64.5","14.7","2.9","858","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0100A","Cereais e derivados","Cereal matinal, milho,","364","7.16","79.7","0.96","4.12","654","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C1014B","Vegetais e derivados","Salada, repolho branco, c/ maionese, c/ uva passa, s/ sal,","63","1.17","6.27","3.22","1.9","83.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0529A","Cereais e derivados","Arroz com lentilha, c/ arroz polido, s/ sal, (arroz polido, c/ lentilha, tomate, linguiça, c/ óleo, cebola e alho, s/ sal),","145","5.24","18.1","5.26","2.24","163","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0592A","Cereais e derivados","Canelone, c/ muçarela, c/ molho branco, caseiro, c/ sal, (massa com farinha de trigo, c/ muçarela, c/ molho branco (farinha de trigo, manteiga e leite), c/ sal),","246","14.6","13.3","14.8","0.54","520","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0006A","Cereais e derivados","Milho, verde, grão, cru (média de diferentes amostras), Zea may,","138","6.59","24.6","0.61","3.92","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"C0416B","Vegetais e derivados","Salada, abóbora cabotian (japonesa) cozida, cebola, salsa, c/ azeite de oliva, s/ sal,","89","1.45","7.54","5.36","2.21","1.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
